iter	Passed	Remaining
696	26676	19672
697	26716	19635
698	26780	19616
699	26829	19585
700	26929	19592
701	27027	19596
702	27098	19582
703	27159	19559
704	27250	19558
705	27311	19536
706	27375	19515
707	27434	19490
708	27528	19490
709	27576	19458
710	27617	19421
711	27711	19421
712	27805	19421
713	27863	19394
714	27958	19394
715	28019	19370
716	28096	19357
717	28153	19331
718	28196	19294
719	28246	19262
720	28334	19256
721	28415	19245
722	28504	19239
723	28583	19226
724	28646	19203
725	28689	19165
726	28783	19162
727	28824	19124
728	28917	19119
729	28978	19093
730	29061	19082
731	29102	19044
732	29146	19006
733	29210	18982
734	29257	18947
735	29314	18918
736	29407	18913
737	29497	18905
738	29597	18903
739	29657	18876
740	29713	18846
741	29808	18840
742	29868	18813
743	29956	18803
744	30013	18773
745	30104	18764
746	30142	18723
747	30230	18711
748	30287	18681
749	30327	18641
750	30391	18615
751	30449	18585
752	30490	18545
753	30580	18534
754	30623	18495
755	30671	18459
756	30733	18432
757	30780	18395
758	30876	18387
759	30972	18379
760	31031	18349
761	31118	18336
762	31205	18322
763	31291	18308
764	31347	18275
765	31443	18266
766	31486	18227
767	31530	18187
768	31623	18176
769	31716	18164
770	31770	18131
771	31858	18116
772	31899	18075
773	31986	18059
774	32040	18025
775	32094	17991
776	32186	17978
777	32248	17948
778	32338	17933
779	32391	17898
780	32484	17885
781	32532	17847
782	32621	17831
783	32669	17793
784	32765	17780
785	32821	17747
786	32888	17719
787	32930	17677
788	32973	17635
789	33072	17624
790	33158	17606
791	33246	17588
792	33338	17573
793	33395	17538
794	33437	17497
795	33494	17462
796	33527	17415
797	33621	17400
798	33671	17362
799	33711	17319
800	33806	17304
801	33903	17289
802	33961	17255
803	34011	17217
804	34100	17198
805	34195	17182
806	34290	17166
807	34349	17132
808	34446	17116
809	34537	17098
810	34635	17082
811	34675	17038
812	34759	17016
813	34850	16997
814	34943	16978
815	35014	16949
816	35107	16930
817	35200	16911
818	35295	16893
819	35341	16852
820	35391	16812
821	35435	16769
822	35534	16752
823	35626	16732
824	35690	16698
825	35748	16662
826	35839	16641
827	35917	16614
828	36007	16592
829	36100	16571
830	36194	16551
831	36242	16509
832	36305	16474
833	36399	16453
834	36493	16433
835	36583	16410
836	36678	16389
837	36768	16365
838	36856	16341
839	36922	16307
840	36962	16261
841	37021	16224
842	37103	16197
843	37197	16174
844	37250	16134
845	37340	16110
846	37381	16064
847	37423	16019
848	37513	15995
849	37606	15971
850	37667	15934
851	37716	15892
852	37807	15867
853	37894	15841
854	37933	15794
855	38003	15760
856	38099	15737
857	38191	15712
858	38285	15688
859	38373	15661
860	38431	15622
861	38524	15597
862	38613	15570
863	38675	15532
864	38730	15492
865	38819	15465
866	38875	15424
867	38962	15396
868	39055	15370
869	39146	15343
870	39243	15318
871	39333	15291
872	39375	15245
873	39427	15202
874	39518	15174
875	39607	15146
876	39669	15108
877	39731	15068
878	39774	15023
879	39864	14994
880	39924	14954
881	40013	14925
882	40102	14896
883	40143	14849
884	40186	14803
885	40279	14775
886	40318	14727
887	40380	14688
888	40473	14659
889	40536	14620
890	40599	14581
891	40690	14552
892	40743	14508
893	40789	14463
894	40896	14439
895	40985	14408
896	41083	14381
897	41140	14339
898	41231	14309
899	41268	14260
900	41322	14217
901	41409	14185
902	41466	14143
903	41555	14112
904	41644	14080
905	41684	14032
906	41745	13991
907	41823	13956
908	41917	13926
909	42002	13893
910	42046	13846
911	42129	13812
912	42172	13764
913	42265	13734
914	42329	13693
915	42423	13662
916	42487	13622
917	42579	13590
918	42671	13558
919	42723	13513
920	42785	13472
921	42879	13440
922	42920	13392
923	43007	13358
924	43102	13326
925	43140	13277
926	43202	13235
927	43251	13189
928	43299	13143
929	43359	13101
930	43419	13058
931	43459	13009
932	43522	12968
933	43581	12925
934	43645	12883
